pageName,name,xpath,tagName,role,classname,width,height,size,topX,topY,fullArea,whiteSpace,whiteSpaceRatio,titleKeywords,textLength,avgWordLength,fullStopsRatio,numberOfVerticalBars,numberOfDateTokens,numberOfImages,numberOfTables,wordFrequency,numberOfLinks,wordFrequencyInLinks,wordFrequencyInLinksToAll,averageSentenceLength,ratioOfTermsToAll,ratioOfUppercaseWordsToAll,textSimilarity,structureSimilarity,structureSimilarity_Levenshtein,background_color,fontSize,borderWidth,borderStyle,borderColor,color,marginTop,marginRight,marginBottom,marginLeft,paddingTop,paddingRight,paddingBottom,paddingLeft,shape,label
0,3,3269,12,18,1023,370.0,46.0,0.0004911726247727351,93.0,178.0,0.004343094174574432,0.0,0.0,0,0.0024146940068086454,0.004060538944259874,0.181818182,0,0,0,0,0.004060538944259874,0,0.0,0.0,0.012725344644750796,0.037162162,0.181818182,0.0,1.0,100.0,0.0,38.0,0,1,1.0,0.9999999997671694,0.86624,0.0,0.86624,0.0,0.0,0.0,0.0,0.0,0,1
0,3,3268,6,7,122,400.0,152.921875,0.001756831101085292,78.0,305.0,0.009799776068176056,0.0006541033114487892,0.372163073,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,3,2746,28,1,821,253.0,553.0,0.004043833759893197,108.0,560.0,0.015124532010646367,0.002316984936298772,0.576360349,2,0.007244082020425936,0.011443337024732374,0.064516129,0,0,1,0,0.011443337024732374,1,0.0008476970895733258,0.193548387,0.0383881230116649,0.10472973,0.193548387,28.52559282,0.0,38.80597015,0.0,16.0,0,1,1.0,0.9999999997671694,0.0,128.0,32.0,128.0,24.0,0.0,8.0,0.0,0,1
0,3,2752,28,1,821,254.0,553.0,0.004059820720546482,385.328125,560.0,0.014803265526169914,0.0023690494307625903,0.586991499,2,0.005977357295542713,0.0103359173126615,0.107142857,0,0,1,0,0.0103359173126615,2,0.0018366770274088726,0.464285714,0.01407500240721103,0.094594595,0.392857143,27.83751943,0.0,47.76119403,0.0,16.0,0,1,1.0,0.9999999997671694,0.0,128.0,32.0,128.0,24.0,0.0,8.0,0.0,0,1
0,3,2760,28,1,822,253.0,553.0,0.004043833759893197,662.65625,560.0,0.014947184745585896,0.0023369544857757885,0.581327863,2,0.008629562188266961,0.014396456256921373,0.128205128,0,0,1,0,0.014396456256921373,1,0.0009889799378355467,0.179487179,0.017293417083775187,0.131756757,0.230769231,29.58715596,0.0,28.72340426,0.0,16.0,0,1,1.0,0.9999999997671694,0.0,128.0,32.0,128.0,24.0,0.0,8.0,0.0,0,1
0,2,3272,27,17,536,1024.0,96.0,0.002841053474215172,0.0,1113.0,0.29500786150698016,0.0,0.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.003378378,0.0,0.0,1.0,100.0,0.0,16.0,0,1,1.0,0.9999999997671694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,1,3259,8,6,1149,1024.0,441.0,0.013054206204039295,0.0,1209.0,0.0677154082215697,0.0053505880138432224,0.412362823,0,0.02181141635658301,0.02916205241786637,0.037974684,0,0,0,0,0.02916205241786637,41,0.05764340209098615,5.164556962,0.08316921678685048,0.266891892,0.835443038,14.834877,0.0,33.65005992,0.0,16.0,0,1,1.0,0.9999999997671694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1,3,2347,8,4,1076,249.0,235.0,0.0016907728640278641,478.0,10859.0,0.007144160258846085,0.0008768787207763824,0.521541485,0,0.00795661467817275,0.009966777408637873,0.074074074,0,0,0,0,0.009966777408637873,7,0.005368748233964397,1.407407407,0.042629904559915166,0.016148325,0.962962963,24.37810945,0.0,3.333333333,0.0,13.0,0,1,0.2,0.19999999995343387,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0,0
1,3,2329,8,4,1076,139.0,235.0,0.0009434619546473343,12.0,10859.0,0.0023989088328539502,0.0006684483439328187,0.712199602,0,0.0027313751880294512,0.004060538944259874,0.0,0,0,0,0,0.004060538944259874,4,0.0021192427239333147,1.363636364,0.07317073170731707,0.006578947,0.909090909,24.88163824,0.0,5.555555556,0.0,13.0,0,1,0.2,0.19999999995343387,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0,0
1,3,2336,8,4,1076,195.0,235.0,0.0013239111448774222,217.0,10859.0,0.006115035769653448,0.0006281357138374892,0.47705401,0,0.007323252315731138,0.011812476928755998,0.0,0,0,0,0,0.011812476928755998,8,0.006216445323537723,1.375,0.19618239660657477,0.019138756,0.78125,24.01057774,0.0,2.684563758,0.0,13.0,0,1,0.2,0.19999999995343387,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0,0
